devid,location,color,devgroup,ts,temperature,humidity
0, beijing, white, 0, 1575129600000, 16, 19.405091
0, beijing, white, 0, 1575129601000, 22, 14.377142
0, beijing, white, 0, 1575129602000, 16, 16.868231
0, beijing, white, 0, 1575129603000, 20, 11.565193
0, beijing, white, 0, 1575129604000, 31, 13.009119
0, beijing, white, 0, 1575129605000, 29, 18.136400
0, beijing, white, 0, 1575129606000, 17, 13.806572
0, beijing, white, 0, 1575129607000, 23, 14.688898
0, beijing, white, 0, 1575129608000, 26, 12.931019
0, beijing, white, 0, 1575129609000, 32, 12.185531
0, beijing, white, 0, 1575129610000, 30, 13.608714
0, beijing, white, 0, 1575129611000, 23, 18.624914
0, beijing, white, 0, 1575129612000, 22, 12.970826
0, beijing, white, 0, 1575129613000, 22, 12.065827
0, beijing, white, 0, 1575129614000, 25, 16.967192
0, beijing, white, 0, 1575129615000, 16, 10.283031
0, beijing, white, 0, 1575129616000, 22, 16.072534
0, beijing, white, 0, 1575129617000, 24, 10.794536
0, beijing, white, 0, 1575129618000, 32, 10.591207
0, beijing, white, 0, 1575129619000, 20, 13.015227
0, beijing, white, 0, 1575129620000, 28, 15.410999
0, beijing, white, 0, 1575129621000, 29, 12.785076
0, beijing, white, 0, 1575129622000, 28, 15.305857
0, beijing, white, 0, 1575129623000, 33, 12.820810
0, beijing, white, 0, 1575129624000, 34, 13.618055
0, beijing, white, 0, 1575129625000, 32, 12.971123
0, beijing, white, 0, 1575129626000, 24, 10.974546
0, beijing, white, 0, 1575129627000, 15, 10.742910
0, beijing, white, 0, 1575129628000, 23, 16.810783
0, beijing, white, 0, 1575129629000, 18, 13.115224
0, beijing, white, 0, 1575129630000, 26, 17.418490
0, beijing, white, 0, 1575129631000, 20, 17.302315
0, beijing, white, 0, 1575129632000, 21, 14.283571
0, beijing, white, 0, 1575129633000, 16, 16.826535
0, beijing, white, 0, 1575129634000, 18, 19.222123
0, beijing, white, 0, 1575129635000, 18, 14.931420
0, beijing, white, 0, 1575129636000, 17, 19.549454
0, beijing, white, 0, 1575129637000, 22, 16.908388
0, beijing, white, 0, 1575129638000, 32, 15.637796
0, beijing, white, 0, 1575129639000, 31, 15.517650
0, beijing, white, 0, 1575129640000, 18, 14.038033
0, beijing, white, 0, 1575129641000, 32, 19.859647
0, beijing, white, 0, 1575129642000, 16, 13.220840
0, beijing, white, 0, 1575129643000, 28, 16.445398
0, beijing, white, 0, 1575129644000, 26, 16.695753
0, beijing, white, 0, 1575129645000, 33, 13.696928
0, beijing, white, 0, 1575129646000, 21, 15.352819
0, beijing, white, 0, 1575129647000, 15, 12.388407
0, beijing, white, 0, 1575129648000, 27, 11.267529
0, beijing, white, 0, 1575129649000, 20, 14.103228
0, beijing, white, 0, 1575129650000, 20, 16.250950
0, beijing, white, 0, 1575129651000, 30, 16.236088
